Food,energy,carbs,fiber,sugars,sodium,fat,protein,y_vegetarian,y_diabetic,y_low_sodium
"SEENI/KATHALI BANANA, RIPE",106.0,26.5,0.0,0.0,0.0,0.2,1.4,1,1,1
"SOUR BANANA, RIPE",57.0,13.5,0.0,0.0,0.0,0.1,1.2,1,1,1
GRAPEFRUIT,33.0,8.41,1.1,0.0,0.0,0.1,0.69,1,1,1
MANDARIN,53.0,13.3,1.8,0.0,0.0,0.31,0.81,1,1,1
ORANGE,37.0,8.5,0.0,0.0,0.0,0.1,1.1,1,1,1
PUMMELO,46.0,10.6,0.8,0.0,0.0,0.4,0.7,1,1,1
SWEET LEMON,53.7,11.1,0.0,0.0,0.0,0.9,1.0,1,0,1
FRUIT SALAD,59.0,14.3,0.0,0.0,0.0,0.3,0.7,1,1,1
"FRUIT SALAD, W/ ADDED SUGAR",72.360001,16.3384,2.4575999,0.0,0.0,0.39360002,0.6552,1,1,1
"GUAVA,PINK FLESH,RAW",41.0,9.1,7.4,0.0,0.0,0.3,1.2,1,1,1
"GUAVA,WHITE FLESH,RAW",28.0,5.1,8.6,0.0,0.0,0.3,1.4,1,1,1
"JACKFRUIT, RIPE, RAW",65.0,14.0,3.6,0.0,0.0,0.2,2.7,1,1,1
"PINEAPPLE, RIPE, RAW",39.0,9.4,3.5,0.0,0.0,0.2,0.5,1,1,1
"MUSK MELON, RIPE, RAW",21.0,4.2,1.5,0.0,0.0,0.3,0.4,1,1,1
SWEET MELON,17.0,3.5,0.0,0.0,0.0,0.2,0.3,1,0,1
WATER MELON,18.3,3.9,0.0,0.0,0.0,0.16,0.6,1,1,1
"MANGO, GREEN",43.0,10.6,3.0,0.0,0.0,0.1,0.7,1,1,1
"MANGO, SEMI-RIPE",40.5,9.4,2.45,0.0,0.0,0.35,0.6,1,1,1
"MANGO,RIPE",38.0,8.2,1.9,0.0,0.0,0.6,0.5,1,1,1
"COCONUT KERNEL, DRIED, UNSWEETENED",628.0,8.0,15.2,0.0,0.0,63.3,7.3,1,0,1
"COCONUT KERNEL, GREEN, FRESH",411.0,6.3,10.4,0.0,0.0,41.4,3.8,1,1,1
"COCONUT KERNEL, MATURE, FRESH",411.0,6.3,10.4,0.0,0.0,41.4,3.8,1,1,1
"DATES, FRESH",144.0,33.8,0.0,0.0,0.0,0.4,1.2,1,1,1
"DATES,DRIED",285.0,72.7,9.1,0.0,0.0,0.3,2.4,1,1,1
"PALMYRA FRUIT, JELLY SEEDS, RAW",31.0,6.9,0.3,0.0,0.0,0.1,0.6,1,1,1
"COCONUT KERNEL, MATURE, FRESH, SWEETENED",501.0,47.7,4.5,0.0,0.0,35.5,2.88,1,0,1
"PAPAYA, GREEN",21.0,4.4,2.3,0.0,0.0,0.2,0.5,1,1,1
"PAPAYA, RIPE",20.0,4.6,2.8,0.0,0.0,0.2,0.4,1,1,1
"GRAPES,BLACK,SEEDED",56.0,13.2,1.4,0.0,0.0,0.3,0.8,1,1,1
"GRAPES,FLESH ONLY",60.0,15.4,0.0,0.0,0.0,0.1,0.4,1,1,1
RAISINS,281.0,71.3,3.9,0.0,0.0,0.3,2.6,1,0,1
"AMBARELLA, RAW",37.0,7.46,4.67,0.0,0.0,0.44,0.73,1,1,1
"APPLE,RAW",58.0,13.9,2.1,0.0,0.0,0.5,0.3,1,1,1
"AVOCADO,FRESH,RAW",143.0,1.8,6.7,0.0,0.0,13.9,3.0,1,1,1
"CASHEW APPLE, RAW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"CUSTARD APPLE, RAW",89.0,20.4,5.1,0.0,0.0,0.7,1.6,1,1,1
"MANGOSTEEN, RAW",47.0,11.4,1.9,0.0,0.0,0.2,0.6,1,1,1
"PASSION FRUIT, RAW",51.0,12.4,0.0,0.0,0.0,0.1,0.9,1,1,1
"POMEGRANATE,RAW",50.0,11.6,2.8,0.0,0.0,0.2,1.3,1,1,1
"RAMBUTAN, RAW",67.0,16.8,1.0,0.0,0.0,0.2,0.7,1,1,1
"SOURSOP, RAW",62.14,11.94,4.95,0.0,0.0,0.94,0.74,1,1,1
"CEYLON OLIVE, FRESH",145.0,3.84,3.3,0.0,0.0,15.32,1.03,1,1,1
DAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"NELLI, RAW",54.3,13.7,0.0,0.0,0.0,0.1,0.5,1,1,1
RAMONTCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
ROSE APPLE,36.5,8.5,0.0,0.0,0.0,0.2,0.7,1,1,1
WOOD APPLE,73.0,7.5,5.2,0.0,0.0,3.6,3.1,1,1,1
"CHICK PEAS, BOILED",145.0,22.5,6.1,0.0,0.0,2.4,9.7,1,1,1
"CHICK PEAS, BOILED & TEMPERED",173.2595062,22.42178345,4.813622952,0.0,0.0,5.252151966,8.102856636,1,1,1
"CHICK PEAS, BOILED, W/ COCONUT MILK",175.8802948,15.89795113,8.750461578,0.0,0.0,8.995635986,6.961248875,1,1,1
"CHICK PEAS, BOILED & TEMPERED, W/ COCONUT MILK",215.3688,17.190855,9.2248077,0.0,0.0,12.57994,7.4230752,1,1,1
"CHICK PEAS, SALAD",167.1572876,23.57131958,14.45419693,0.0,0.0,2.893427134,10.38610077,1,1,1
"CHICK PEAS AND EGGPLANT, BOILED & TEMPERED, W/ COCONUT MILK",193.1234,15.936284,9.0211515,0.0,0.0,10.78095,7.1822343,1,1,1
"CHICK PEAS, BOILED, W/ SCRAPED COCONUT & SUGAR",216.5723877,26.13928795,14.66397858,0.0,0.0,7.407123089,10.19696426,1,1,1
"COWPEAS, WHOLE, BOILED",158.0,29.1,6.1,0.0,0.0,0.6,10.8,1,1,1
"COWPEAS, WHOLE, BOILED & TEMPERED",173.2595062,22.42178345,4.813622952,0.0,0.0,5.252151966,8.102856636,1,1,1
"COWPEAS, WHOLE, BOILED, W/ COCONUT MILK",241.0,38.2,8.4,0.0,0.0,4.7,13.9,1,1,1
"COWPEAS, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",225.756,22.147497,4.5927649,0.0,0.0,11.304261,7.929451,1,1,1
"PIGEON PEAS, SPLIT, BOILED & TEMPERED",160.4712524,19.71021271,3.392471075,0.0,0.0,5.351220131,7.556764126,1,1,1
"PIGEON PEAS, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",212.4091,16.736752,2.715404,0.0,0.0,12.987708,6.472188,1,1,1
"KIDNEY BEANS, BOILED & TEMPERED",138.7570038,15.97943687,0.355558991,0.0,0.0,5.297588348,7.690844059,1,1,1
"KIDNEY BEANS, BOILED, W/ COCONUT MILK",158.0,21.8,10.9,0.0,0.0,3.9,10.3,1,1,1
"KIDNEY BEANS, BOILED & TEMPERED, W/ COCONUT MILK",207.0,21.8,10.9,0.0,0.0,9.3,10.3,1,1,1
"BLACK GRAM, SPLIT, BOILED & TEMPERED",157.8634033,18.49678802,4.347791195,0.0,0.0,5.394796371,7.801460266,1,1,1
"BLACK GRAM, SPLIT, BOILED, W/ COCONUT MILK",167.2641,15.831752,3.4279039,0.0,0.0,8.2202082,6.6546879,1,1,1
"BLACK GRAM, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",210.4641,15.831752,3.4279039,0.0,0.0,13.020208,6.6546879,1,1,1
"BLACK GRAM, WHOLE, BOILED",97.660522,14.745448,6.8414321,0.0,0.0,0.529616,7.3643441,1,1,1
"BLACK GRAM, WHOLE, BOILED & TEMPERED",215.9193268,26.30349731,12.02272606,0.0,0.0,5.735946178,12.81832314,1,1,1
"BLACK GRAM, WHOLE, BOILED, W/ COCONUT MILK",159.35159,13.926752,5.5529041,0.0,0.0,8.192708,6.5396876,1,1,1
"GREEN GRAM SPROUTS, BOILED",25.0,2.8,4.9,0.0,0.0,0.5,2.5,1,1,1
"GREEN GRAM, SPLIT, BOILED",109.2752,17.869513,3.254792,0.0,0.0,0.46592799,7.8436799,1,1,1
"GREEN GRAM, SPLIT, BOILED & TEMPERED",158.8690033,19.06662941,3.610351086,0.0,0.0,5.294236183,8.12660408,1,1,1
"GREEN GRAM, SPLIT, BOILED, W/ COCONUT MILK",168.0141,16.256752,2.8779039,0.0,0.0,8.1452084,6.8971877,1,1,1
"GREEN GRAM, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",211.2141,16.256752,2.8779039,0.0,0.0,12.945209,6.8971877,1,1,1
"GREEN GRAM, WHOLE, BOILED",92.0,15.5,5.7,0.0,0.0,0.4,7.6,1,1,1
"GREEN GRAM, WHOLE, BOILED & TEMPERED",186.0,24.3,9.2,0.0,0.0,5.5,11.4,1,1,1
"GREEN GRAM, WHOLE, BOILED, W/ COCONUT MILK",177.0,16.4,5.5,0.0,0.0,9.5,7.6,1,1,1
"GREEN GRAM, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",217.4239044,20.11394882,6.864501953,0.0,0.0,10.86361885,9.000017166,1,1,1
"RED LENTILS, SPLIT, BOILED",110.87746,18.513096,3.036912,0.0,0.0,0.52291203,7.27384,1,1,1
"RED LENTILS, SPLIT, BOILED & TEMPERED",160.4712524,19.71021271,3.392471075,0.0,0.0,5.351220131,7.556764126,1,1,1
"RED LENTILS, SPLIT, BOILED, W/ COCONUT MILK",137.0,15.5,3.1,0.0,0.0,5.8,6.8,1,1,1
"RED LENTILS, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",193.0,18.3,3.6,0.0,0.0,10.3,8.0,1,1,1
"RED LENTILS AND DRIED FISH, BOILED, W/ COCONUT MILK",161.0,14.5,2.9,0.0,0.0,5.7,13.7,0,1,1
"RED LENTILS AND RADDISH, BOILED, W/ COCONUT MILK",228.8473969,20.2860527,3.810487986,0.0,0.0,12.47094536,8.173618317,1,1,1
"RED LENTILS AND SNAKE GOURD, BOILED, W/ COCONUT MILK",197.0,20.9,4.2,0.0,0.0,9.0,9.4,1,1,1
"RED LENTILS AND SPINACH, BOILED, W/ COCONUT MILK",191.0,25.5,5.5,0.0,0.0,5.4,11.7,1,1,1
"RED LENTILS AND POTATO, BOILED, W/ COCONUT MILK",247.9866,23.470432,4.1002679,0.0,0.0,12.517781,9.5714693,1,1,1
"RED LENTILS AND POTATO, BOILED",124.035,22.110947,3.8907549,0.0,0.0,0.342314,7.4001937,1,1,1
"RED LENTILS AND CABBAGE, BOILED, W/ COCONUT MILK",230.4644012,26.80552673,5.46844101,0.0,0.0,8.171309471,11.42618465,1,1,1
"RED LENTILS AND LEEKS, BOILED, W/ COCONUT MILK",244.4874,22.726852,4.182888,0.0,0.0,12.505146,9.4830179,1,1,1
"RED LENTILS AND POTATO, BOILED & TEMPERED",194.8349915,22.40568161,4.312652111,0.0,0.0,7.497983932,8.65007782,1,1,1
"RED LENTILS AND CARROTS, BOILED, W/ COCONUT MILK",126.7548981,5.937624931,2.922093153,0.0,0.0,10.35217571,2.091125011,1,1,1
SAMBAAR,46.0,5.1,1.8,0.0,0.0,2.3,1.6,1,1,1
"SAMBAAR, W/ COCONUT MILK",192.8459,8.3988495,1.818441,0.0,0.0,16.219677,2.9497769,1,1,1
"CASHEWS, W/ COCONUT MILK",325.0,13.6,2.4,0.0,0.0,26.7,8.5,1,1,1
"JACK FRUIT SEEDS AND VEGETABLE, NFS, W/ COCONUT MILK",143.2397308,8.269203186,4.772016048,0.0,0.0,10.43182945,3.690796852,1,1,1
"JACK FRUIT SEEDS AND VEGETABLE, NFS, TEMPERED",127.3512955,7.61826086,6.518497944,0.0,0.0,8.870390892,3.823427916,1,1,1
"SOY MEAT, TEMPERED",199.02921,11.592509,5.7053642,0.0,0.0,8.7702303,20.510151,1,1,1
"SOY MEAT, TEMPERED, W/ COCONUT MILK",210.0,10.1,2.298,0.0,0.0,13.9,11.6,1,1,1
"SOY MEAT AND POTATO, TEMPERED, W/ COCONUT MILK",208.7142,13.737888,3.918587,0.0,0.0,11.611342,13.333339,1,1,1
"SOY MEAT, BOILED, W/ COCONUT MILK",146.0,9.4,1.5,0.0,0.0,7.3,11.3,1,1,1
"LEGUME MALLUM, NFS, W/ SCRAPED COCONUT",217.2813263,24.77280617,7.17110014,0.0,0.0,7.228633404,12.53009319,1,1,1
"LEGUME MALLUM, NFS, TEMPERED, W/ SCRAPED COCONUT",274.8599243,23.74410057,6.656666756,0.0,0.0,14.35409927,11.96407795,1,1,1
"LEGUMES AND LEAFY GREENS, NFS, W/ COCONUT MILK",181.7062836,18.49509048,5.507285595,0.0,0.0,7.470448494,9.487352371,1,1,1
"LEGUMES AND VEGETABLE, NFS, TEMPERED",163.0658875,18.87472916,6.245176792,0.0,0.0,5.262973309,9.392623901,1,1,1
"LEGUMES AND VEGETABLE, NFS, TEMPERED, W/ COCONUT MILK",243.5938263,16.11279297,4.176191807,0.0,0.0,16.21855736,7.775320053,1,1,1
"LEGUMES AND VEGETABLE, NFS, W/ COCONUT MILK",203.2975616,16.0850544,4.125256062,0.0,0.0,11.76556969,7.751879692,1,1,1
"LEGUMES AND WHITE ROOT/TUBER, NFS, W/ COCONUT MILK",213.6461487,18.94931602,3.637251377,0.0,0.0,11.75051689,7.492612839,1,1,1
"LEGUMES, NFS, AND DRIED FISH, NFS, TEMPERED",205.08199,13.709994,4.0850639,0.0,0.0,9.6190367,15.670551,0,1,1
"LEGUMES, NFS, AND DRIED FISH, NFS, LIGHT TEMPERED, W/ COCONUT MILK",201.37045,13.713758,2.9799318,0.0,0.0,10.481936,12.702579,0,1,1
"DUCK EGG, WHOLE, BOILED",181.644,0.0,0.0,0.0,0.0,13.83,14.6,0,1,1
"EGG, WHITE ONLY, BOILED",52.0,0.0,0.0,0.0,0.0,0.3,12.4,1,1,1
"EGG, POULTRY, WHOLE, BOILED",149.0,0.0,0.0,0.0,0.0,10.5,13.4,1,1,1
"EGG, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",144.0,2.6,0.0,0.0,0.0,12.2,6.1,1,1,1
"EGG, WHOLE,PAN-FRIED",179.0,0.0,0.0,0.0,0.0,13.9,13.6,1,1,1
"EGG, WHOLE,OMELET",199.0,0.0,0.0,0.0,0.0,14.8,16.5,1,1,1
"EGG, YOLK ONLY, BOILED",312.0,0.0,0.0,0.0,0.0,27.5,16.1,1,1,1
"BEEF, TEMPERED",146.0,5.7,1.1,0.0,0.0,8.1,12.0,0,1,1
"BEEF, ROAST OR BAKED",213.36,0.0,0.0,0.0,0.0,9.9345751,31.070551,0,1,1
"BEEF, COOKED W/ WATER",97.944901,1.836033,0.85503,0.0,0.0,4.238555,13.070065,0,1,1
"BEEF OFFALS (BABATH), BOILED AND FRIED",222.95088,2.5283999,1.613178,0.0,0.0,15.987584,17.065004,0,1,1
"BEEF OFFALS (BABATH), BOILED, W/ COCONUT MILK",138.0,3.1,1.28,0.0,0.0,8.3,12.9,0,1,1
"LIVER,CALF,TEMPERED",178.78757,3.5913889,1.973474,0.0,0.0,8.5134249,21.783152,1,1,1
"VEAL, DEEP-FRIED",313.0885925,2.528399944,1.613178015,0.0,0.0,23.72730637,22.310812,1,1,1
"BEEF, BOILED, W/ COCONUT MILK",223.20889,1.836033,0.85503,0.0,0.0,17.04241,15.584135,0,1,1
"BEEF, TEMPERED, W/ COCONUT MILK",187.3078003,3.434812069,1.237185001,0.0,0.0,12.46599865,15.22170353,0,1,1
"BEEF AND VEGETABLE, NFS, LIGHT TEMPERED, W/ COCONUT MILK",132.5374603,4.65024519,3.252089739,0.0,0.0,8.102972031,9.991214752,0,1,1
"VENISON (DEER MEAT), TEMPERED",133.4563,1.025844,0.493714,0.0,0.0,6.020349,18.778418,1,1,1
"GAME MEAT, NFS, TEMPERED",159.2385406,3.06932807,1.232617021,0.0,0.0,10.17633438,13.63659954,1,1,1
"GAME MEAT, NFS, TEMPERED, W/ COCONUT MILK",197.7628479,3.984812021,1.237185001,0.0,0.0,13.70445061,14.36135864,1,1,1
"GAME MEAT, NFS, W/ COCONUT MILK",149.9428406,3.434812069,1.237185001,0.0,0.0,8.744450569,14.1313591,1,1,1
"GOAT MEAT, TEMPERED",143.0,1.1,0.56,0.0,0.0,7.7,17.3,1,1,1
"SHEEP MEAT, TEMPERED",146.4116211,1.025843978,0.493714005,0.0,0.0,8.978563309,15.27855682,1,1,1
"GOAT MEAT, TEMPERED & BOILED",161.6945038,0.861999035,0.421905994,0.0,0.0,9.861896515,17.22886086,1,1,1
"PORK, TEMPERED",105.0,3.8,0.8,0.0,0.0,4.5,11.9,0,1,1
"PORK, TEMPERED, W/ COCONUT MILK",187.9102,3.4348121,1.237185,0.0,0.0,13.700918,12.528975,0,1,1
"PORK, BOILED, W/ COCONUT MILK",90.268898,1.5498329,0.77522999,0.0,0.0,4.9427099,9.8040352,0,1,1
"SAUSAGES,BEEF,GRILLED",278.0,13.1,0.8,0.0,0.0,19.5,13.3,0,1,1
"SAUSAGES,LOW FAT,GRILLED",212.6447449,0.453761488,0.0,0.0,0.0,14.80083656,18.15045929,0,1,1
"CHICKEN GIBLETS, TEMPERED",120.1065979,0.517425001,0.171407998,0.0,0.0,6.341222763,15.31875229,0,1,1
"CHICKEN GIZZARDS, TEMPERED",136.4415,1.037064,0.66927397,0.0,0.0,7.2457328,16.836697,0,1,1
"CHICKEN MEAT W/ BONE, DEEP-FRIED",307.0046082,1.668400049,1.064477921,0.0,0.0,25.09938049,18.56464577,0,1,1
"CHICKEN MEAT W/ BONE, TEMPERED",170.0,1.1,0.6,0.0,0.0,10.2,18.5,0,1,1
"CHICKEN MEAT W/ BONE, TEMPERED, W/ COCONUT MILK",200.0,3.0,1.3,0.0,0.0,12.9,18.1,0,1,1
"CHICKEN MEAT W/ BONE, W/ COCONUT MILK",156.0,3.1,1.3,0.0,0.0,9.8,14.2,0,1,1
"CHICKEN MEAT, BONES REMOVED, BOILED, PLAIN",187.9600067,0.726999998,0.662199974,0.0,0.0,10.45919991,22.72500038,0,1,1
"CHICKEN MEAT, BONES REMOVED, COOKED W/ WATER",161.2088,2.025167,0.721183,0.0,0.0,8.6045609,18.857018,0,1,1
"CHICKEN MEAT, BONES REMOVED, TEMPERED",170.0,1.1,0.6,0.0,0.0,10.2,18.5,0,1,1
"CHICKEN MEAT, BONES REMOVED, TEMPERED, W/ COCONUT MILK",200.0,3.0,1.3,0.0,0.0,12.9,18.1,0,1,1
"CHICKEN MEAT, BONES REMOVED, W/ COCONUT MILK",156.0,3.1,1.3,0.0,0.0,9.8,14.2,0,1,1
"CHICKEN MEAT, W/ BONE, COOKED W/ WATER",187.04109,2.025167,0.721183,0.0,0.0,12.729396,15.965468,0,1,1
"CHICKEN MEAT W/ BONE, TEMPERED, BOILED",152.0,2.1,0.8,0.0,0.0,7.7,18.7,0,1,1
"DUCK MEAT, TEMPERED",156.5687103,1.025843978,0.493714005,0.0,0.0,9.711867332,16.1701889,0,1,1
PANEER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
COFFEE FLAVORED MILK DRINK,72.0,11.7,0.0,0.0,0.0,1.5,3.6,1,1,1
CHOCOLATE FLAVORED MILK DRINK,72.0,11.7,0.0,0.0,0.0,1.5,3.6,1,0,1
FRUIT FLAVORED MILK DRINK,72.0,11.7,0.0,0.0,0.0,1.5,3.6,1,1,1
"MALTED DRINK, BOTTLED, READY-TO-DRINK",64.0,10.0,0.0,0.0,0.0,1.4,3.4,1,1,1
"MALTED DRINK, FROM POWDER",45.26666667,9.625,0.0,0.0,0.0,0.723333333,0.665,1,1,1
"MALTED DRINK MIX, POWDER ONLY",390.0,73.9,0.0,0.0,0.0,8.7,8.7,1,0,1
"ICE CREAM, CHOCOLATE",227.0,22.8,0.0,0.0,0.0,14.2,3.3,1,0,1
"ICE CREAM, FRUIT FLAVOR",192.0,27.6,0.9,0.0,0.0,8.4,3.2,1,0,1
"ICE CREAM, VANILLA",191.0,29.8,0.0,0.0,0.0,7.7,2.6,1,0,1
"ICE CREAM,W/CONE",199.0,32.0,0.0,0.0,0.0,7.5,2.9,1,0,1
BUFFALO MILK,105.0,8.4,0.0,0.0,0.0,6.6,3.7,1,1,1
GOAT MILK,62.0,4.4,0.0,0.0,0.0,3.7,3.1,1,1,1
"MILK, NON FAT, FRESH OR UHT",35.0,4.8,0.0,0.0,0.0,0.3,3.5,1,1,1
"MILK, LOW FAT, FRESH OR UHT",52.0,6.27,0.0,0.0,0.0,1.31,3.71,1,1,1
"MILK, LOW FAT, FROM POWDER",41.76666667,5.81,0.0,0.0,0.0,0.116666667,4.386666667,1,1,1
"MILK, WHOLE, FRESH OR UHT",72.0,4.9,0.0,0.0,0.0,4.5,3.3,1,1,1
"MILK, WHOLE, FROM POWDER",57.98333333,4.666666667,0.0,0.0,0.0,3.115,3.115,1,1,1
"MILK POWDER, WHOLE (FULL FAT)",497.0,37.5,0.0,0.0,0.0,26.7,26.6,1,1,1
SWEETENED CONDENSED MILK,321.0,54.4,0.0,0.0,0.0,8.7,7.91,1,0,1
"CURD, COW'S MILK, PLAIN, UNSWEETENED",60.0,3.0,0.0,0.0,0.0,4.0,3.1,1,0,1
"DRINKING YOGHURT, FLAVORED OR SWEETENED",70.0,12.7,0.0,0.0,0.0,1.2,3.0,1,0,1
"DRINKING YOGHURT, PLAIN, UNSWEETENED",57.0,7.8,0.0,0.0,0.0,1.0,4.8,1,0,1
"YOGHURT, LOW FAT, PLAIN",57.0,7.8,0.0,0.0,0.0,1.0,4.8,1,1,1
"YOGHURT, NON FAT, PLAIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"YOGHURT, WHOLE MILK, SWEETENED OR FLAVORED",137.0,15.9,0.0,0.0,0.0,6.2,5.3,1,0,1
"YOGHURT, WHOLE MILK, PLAIN",79.0,7.8,0.0,0.0,0.0,3.0,5.7,1,1,1
"SAMAPOSHA CEREAL, PREPARED AS PORRIDGE",181.0,29.7,0.0,0.0,0.0,4.2,7.0,1,1,1
"THRIPOSHA CEREAL, PREPARED AS PORRIDGE",249.53596,18.399,7.5030003,0.0,0.0,11.655001,16.896999,1,1,1
"NOODLES,PLAIN,BOILED",127.69231,27.188461,3.773077,0.0,0.0,0.16153847,3.5807693,1,1,0
"NOODLES,W/ VEGETABLES,W/ COCONUT OIL",132.0,22.7,3.2,0.0,0.0,3.4,4.0,1,1,0
"NOODLES,W/ VEGETABLES & EGG, W/ COCONUT OIL",162.3098602,21.53450966,4.324066162,0.0,0.0,6.172211647,4.448864937,1,1,0
"RED RICE, SAMBA, PARBOILED, STEAMED OR BOILED",129.0,28.2,0.0,0.0,0.0,1.2,3.0,1,1,1
"RED RICE, SAMBA, KEKULU (POLISHED), STEAMED OR BOILED",134.0,32.2,0.9,0.0,0.0,0.4,2.4,1,1,1
"RED RICE, MEDIUM GRAIN, PARBOILED, STEAMED OR BOILED",110.0,24.2,0.0,0.0,0.0,1.0,2.7,1,1,1
"RED RICE, MEDIUM GRAIN, KEKULU (POLISHED), STEAMED OR BOILED",134.0,32.2,0.9,0.0,0.0,0.4,2.4,1,1,1
"WHITE RICE, SAMBA, PARBOILED, STEAMED OR BOILED",124.0,27.3,0.0,0.0,0.0,1.0,3.2,1,1,1
"WHITE RICE, SAMBA, KEKULU (POLISHED), STEAMED OR BOILED",117.0,26.5,0.0,0.0,0.0,0.7,2.8,1,1,1
"WHITE RICE, MEDIUM GRAIN, PARBOILED, STEAMED OR BOILED",124.0,27.3,0.0,0.0,0.0,1.0,3.2,1,1,1
"WHITE RICE, MEDIUM GRAIN, KEKULU (POLISHED), STEAMED OR BOILED",117.0,26.5,0.0,0.0,0.0,0.7,2.8,1,1,1
"WHITE RICE, BASMATI, PARBOILED, STEAMED OR BOILED",124.0,27.3,0.0,0.0,0.0,1.0,3.2,1,1,1
"WHITE RICE, BASMATI, KEKULU (POLISHED), STEAMED OR BOILED",117.0,26.5,0.0,0.0,0.0,0.7,2.8,1,1,1
BIRYANI W/ CHICKEN,127.0,18.2,1.6,0.0,0.0,4.4,4.8,0,1,1
BIRYANI W/ VEGETABLES,84.0,15.9,0.4,0.0,0.0,1.9,1.9,1,1,1
CURD RICE,153.0,24.6,1.0,0.0,0.0,4.0,6.2,1,1,1
FRIED RICE W/ VEGETABLES,111.0,21.8,0.427,0.0,0.0,2.2,2.5,1,1,1
FRIED RICE W/ VEGETABLES & EGG,95.0,15.8,0.4,0.0,0.0,2.7,3.0,1,1,1
MILK RICE,267.0,50.5,1.9,0.0,0.0,6.2,5.4,1,0,1
MILK RICE W/ MUNG BEAN,172.0,27.1,2.7,0.0,0.0,5.7,4.9,1,1,1
"RICE PORRIDGE W/ GREEN GRAM, W/ COCONUT MILK",244.24962,23.126539,4.5115843,0.0,0.0,13.46318,7.1185989,1,1,1
RICE PORRIDGE W/ COCONUT MILK,262.77118,30.854002,1.2199154,0.0,0.0,13.819543,3.5760696,1,1,1
RICE PORRIDGE,121.10364,26.261038,1.1551154,0.0,0.0,0.77849513,2.1833353,1,1,1
RICE PORRIDGE W/ SCRAPED COCONUT,147.98363,28.022139,1.7304153,0.0,0.0,2.8234951,2.5040355,1,1,1
"RICE PORRIDGE W/ BANANA, W/ COCONUT MILK",248.79118,29.816803,1.2508154,0.0,0.0,12.817142,3.3580694,1,1,1
FLATTENED RICE W/ SCRAPED COCONUT & SUGAR,330.7200012,60.58890152,3.809961319,0.0,0.0,7.126628876,5.535181522,1,0,1
FRIED RICE W/ CHICKEN & VEGETABLES,115.0546,17.004156,1.2010729,0.0,0.0,2.9045939,5.1048002,0,1,1
PONGAL,461.0,54.5,1.7,0.0,0.0,25.6,6.5,1,0,1
RICE PORRIDGE W/ CARROTS & LEEKS,246.97139,29.02656,1.7445854,0.0,0.0,12.866909,3.5590084,1,1,1
"MAIZE ON THE COB, BOILED",111.3602,22.028732,3.2378681,0.0,0.0,1.151034,2.8167579,1,1,1
"MAIZE ON THE COB, ROASTED",98.699997,16.716,4.1265001,0.0,0.0,1.5015,4.053,1,1,1
"MAIZE KERNELS, FRIED",181.0174,23.356232,5.7657032,0.0,0.0,6.8879528,5.6630058,1,1,1
"MAIZE KERNELS, BOILED",111.3602,22.028732,3.2378681,0.0,0.0,1.151034,2.8167579,1,1,1
"BISCUIT, CHEESE FLAVORED",494.0,53.2,0.0,0.0,0.0,28.1,10.5,1,0,1
"BISCUIT, CHOCOLATE, FULL COATED",506.0,62.8,0.0,0.0,0.0,27.2,6.4,1,0,1
"BISCUIT, CHOCOLATE CHIP",471.0,60.0,0.0,0.0,0.0,24.9,5.4,1,0,1
"BISCUIT, CREAM CRACKERS",476.0,65.8,0.0,0.0,0.0,23.3,5.0,1,0,1
"BISCUIT, CREAM FILLED",447.0,68.3,0.0,0.0,0.0,16.3,9.6,1,0,1
"BISCUIT, GINGER",443.0,75.3,0.0,0.0,0.0,15.7,4.8,1,0,1
"BISCUIT, SAVORY",534.0,54.6,0.0,0.0,0.0,32.4,6.6,1,0,1
"BISCUIT, SEMI SWEET",444.0,75.4,0.0,0.0,0.0,15.1,6.4,1,0,1
"BISCUIT, WAFER, FILLED",535.0,66.0,0.0,0.0,0.0,30.0,4.7,1,0,1
"BISCUIT, MARIE",388.0,70.5,0.0,0.0,0.0,10.6,7.1,1,0,1
"BISCUIT, SHORTIES",479.0,71.7,0.0,0.0,0.0,20.9,5.6,1,0,1
"BISCUIT, LEMON PUFF",476.0,65.8,0.0,0.0,0.0,23.3,5.0,1,0,1
VISKIRINGA (SUGAR GLAZED RUSK),490.0,71.0,1.0,0.0,0.0,20.0,7.0,1,0,1
"BISCUIT, SWEET, FLAVORED, NO FILLING",427.0,72.7,0.0,0.0,0.0,14.2,6.6,1,0,1
"BISCUIT, BRAN",444.0,75.4,0.0,0.0,0.0,15.1,6.4,1,0,1
"CAKE,CHOCOLATE",438.0,51.3,0.0,0.0,0.0,24.1,7.3,1,0,1
