generic_name,therapeutic_class,action_class,treatment_area,condition,source,confidence
hydroquinone,DERM,,Dermatology,Eczema,therapeutic_class,0.8
hydroquinone,DERM,,Dermatology,Psoriasis,therapeutic_class,0.8
etofylline,RESPIRATOR,,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
etofylline,RESPIRATOR,,Respiratory,Cough,therapeutic_class,0.8
etofylline,RESPIRATOR,,Respiratory,Common Cold,therapeutic_class,0.8
etofylline,RESPIRATOR,,Respiratory,Nasal Congestion,therapeutic_class,0.8
etofylline,RESPIRATOR,,Respiratory,Bronchitis,therapeutic_class,0.8
hydroxyprogesterone,GYNAECOLOGICAL,Progestins (First generation,Gynecology,Gynecological Infection,therapeutic_class,0.8
hydroxyprogesterone,GYNAECOLOGICAL,Progestins (First generation,Gynecology,Hormonal Irregularity,therapeutic_class,0.8
hydroxyprogesterone,GYNAECOLOGICAL,Progestins (First generation,Gynecology,PCOS,therapeutic_class,0.8
hydroxyprogesterone,GYNAECOLOGICAL,Progestins (First generation,Gynecology,Menstrual Disorder,therapeutic_class,0.8
corticotropin,HORMONES,Corticotropi,Endocrinology,Hormonal Imbalance,therapeutic_class,0.8
corticotropin,HORMONES,Corticotropi,Endocrinology,Hypothyroidism,therapeutic_class,0.8
corticotropin,HORMONES,Corticotropi,Endocrinology,Adrenal Insufficiency,therapeutic_class,0.8
corticotropin,HORMONES,Corticotropi,Endocrinology,Growth Disorder,therapeutic_class,0.8
ketotifen,OPHTHAL,Mast cell stabilizer,Ophthalmology,Eye Infection,therapeutic_class,0.8
ketotifen,OPHTHAL,Mast cell stabilizer,Ophthalmology,Glaucoma,therapeutic_class,0.8
ketotifen,OPHTHAL,Mast cell stabilizer,Ophthalmology,Conjunctivitis,therapeutic_class,0.8
ketotifen,OPHTHAL,Mast cell stabilizer,Ophthalmology,Dry Eye,therapeutic_class,0.8
s-adenosyl l-methoinine disulfate tosylate,GASTRO INTESTINA,,Gastroenterology,Acid Reflux,therapeutic_class,0.8
s-adenosyl l-methoinine disulfate tosylate,GASTRO INTESTINA,,Gastroenterology,GERD,therapeutic_class,0.8
s-adenosyl l-methoinine disulfate tosylate,GASTRO INTESTINA,,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
s-adenosyl l-methoinine disulfate tosylate,GASTRO INTESTINA,,Gastroenterology,Nausea,therapeutic_class,0.8
bromelain,PAIN ANALGESIC,,Pain Management,Pain,therapeutic_class,0.8
bromelain,PAIN ANALGESIC,,Pain Management,Inflammation,therapeutic_class,0.8
bromelain,PAIN ANALGESIC,,Pain Management,Arthritis,therapeutic_class,0.8
bromelain,PAIN ANALGESIC,,Pain Management,Musculoskeletal Pain,therapeutic_class,0.8
trifarotene,DERM,,Dermatology,Skin Infection,therapeutic_class,0.8
trifarotene,DERM,,Dermatology,Dermatitis,therapeutic_class,0.8
trifarotene,DERM,,Dermatology,Fungal Infection,therapeutic_class,0.8
trifarotene,DERM,,Dermatology,Eczema,therapeutic_class,0.8
trifarotene,DERM,,Dermatology,Psoriasis,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Hypertension,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Heart Disease,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Angina,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Arrhythmia,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Heart Failure,therapeutic_class,0.8
metoprolol succinate,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Hyperlipidemia,therapeutic_class,0.8
potassium chloride,GASTRO INTESTINA,,Gastroenterology,Acid Reflux,therapeutic_class,0.8
potassium chloride,GASTRO INTESTINA,,Gastroenterology,GERD,therapeutic_class,0.8
potassium chloride,GASTRO INTESTINA,,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
potassium chloride,GASTRO INTESTINA,,Gastroenterology,Nausea,therapeutic_class,0.8
benfotiamine,VITAMINS MINERALS NUTRIENT,,Nutrition,Nutritional Deficiency,therapeutic_class,0.8
benfotiamine,VITAMINS MINERALS NUTRIENT,,Nutrition,Vitamin Deficiency,therapeutic_class,0.8
benfotiamine,VITAMINS MINERALS NUTRIENT,,Nutrition,Mineral Deficiency,therapeutic_class,0.8
polidocanol,OTHERS,Sclerosing agent-Varicose Vei,General Medicine,Weight Management,therapeutic_class,0.8
polidocanol,OTHERS,Sclerosing agent-Varicose Vei,General Medicine,Obesity,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Epilepsy,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Depression,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Seizure Disorder,therapeutic_class,0.8
oxazepam,NEURO CNS,Benzodiazepine,Neurology / Psychiatry,Neuropathic Pain,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,Acid Reflux,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,GERD,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,Gastritis,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,Nausea,therapeutic_class,0.8
ademetionine,GASTRO INTESTINAL,,Gastroenterology,Diarrhea,therapeutic_class,0.8
pseudoephedrine,RESPIRATOR,,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
pseudoephedrine,RESPIRATOR,,Respiratory,Cough,therapeutic_class,0.8
pseudoephedrine,RESPIRATOR,,Respiratory,Common Cold,therapeutic_class,0.8
pseudoephedrine,RESPIRATOR,,Respiratory,Nasal Congestion,therapeutic_class,0.8
pseudoephedrine,RESPIRATOR,,Respiratory,Bronchitis,therapeutic_class,0.8
aztreonam,ANTI INFECTIVES,Monobactam,Infectious Disease,Bacterial Infection,therapeutic_class,0.8
aztreonam,ANTI INFECTIVES,Monobactam,Infectious Disease,Infection,therapeutic_class,0.8
aztreonam,ANTI INFECTIVES,Monobactam,Infectious Disease,Sepsis,therapeutic_class,0.8
tocilizumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Cancer,therapeutic_class,0.8
tocilizumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Malignant Tumor,therapeutic_class,0.8
tocilizumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Leukemia,therapeutic_class,0.8
amphotericin b,ANTI INFECTIVES,Fungal cell membrane active agen,Infectious Disease,Bacterial Infection,therapeutic_class,0.8
amphotericin b,ANTI INFECTIVES,Fungal cell membrane active agen,Infectious Disease,Infection,therapeutic_class,0.8
amphotericin b,ANTI INFECTIVES,Fungal cell membrane active agen,Infectious Disease,Sepsis,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,Asthma,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,COPD,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,Cough,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,Common Cold,therapeutic_class,0.8
acetylcysteine,RESPIRATORY,Acetylcysteine -Mucolyti,Respiratory,Bronchitis,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,Acid Reflux,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,GERD,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,Gastritis,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,Nausea,therapeutic_class,0.8
amlexanox,GASTRO INTESTINAL,Aphthous ulcer,Gastroenterology,Diarrhea,therapeutic_class,0.8
alpha glycerylphosphorylcholine,NEURO CN,,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
alpha glycerylphosphorylcholine,NEURO CN,,Neurology / Psychiatry,Depression,therapeutic_class,0.8
alpha glycerylphosphorylcholine,NEURO CN,,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
alpha glycerylphosphorylcholine,NEURO CN,,Neurology / Psychiatry,Vertigo,therapeutic_class,0.8
alpha glycerylphosphorylcholine,NEURO CN,,Neurology / Psychiatry,Neuropathy,therapeutic_class,0.8
norfloxacin,GASTRO INTESTINA,,Gastroenterology,Acid Reflux,therapeutic_class,0.8
norfloxacin,GASTRO INTESTINA,,Gastroenterology,GERD,therapeutic_class,0.8
norfloxacin,GASTRO INTESTINA,,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
norfloxacin,GASTRO INTESTINA,,Gastroenterology,Nausea,therapeutic_class,0.8
metamizole,PAIN ANALGESICS,NSAID,Pain Management,Pain,therapeutic_class,0.8
metamizole,PAIN ANALGESICS,NSAID,Pain Management,Inflammation,therapeutic_class,0.8
metamizole,PAIN ANALGESICS,NSAID,Pain Management,Arthritis,therapeutic_class,0.8
metamizole,PAIN ANALGESICS,NSAID,Pain Management,Musculoskeletal Pain,therapeutic_class,0.8
nandrolone decanoate,HORMONE,,Endocrinology,Hormonal Imbalance,therapeutic_class,0.8
nandrolone decanoate,HORMONE,,Endocrinology,Inflammation,therapeutic_class,0.8
nandrolone decanoate,HORMONE,,Endocrinology,Osteoporosis,therapeutic_class,0.8
glycine,BLOOD RELATED,Amino acid,Hematology,Anemia,therapeutic_class,0.8
glycine,BLOOD RELATED,Amino acid,Hematology,Thrombosis,therapeutic_class,0.8
glycine,BLOOD RELATED,Amino acid,Hematology,Blood Clotting Disorder,therapeutic_class,0.8
glycine,BLOOD RELATED,Amino acid,Hematology,Deep Vein Thrombosis,therapeutic_class,0.8
gabapentin,NEURO CN,,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
gabapentin,NEURO CN,,Neurology / Psychiatry,Depression,therapeutic_class,0.8
gabapentin,NEURO CN,,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
gabapentin,NEURO CN,,Neurology / Psychiatry,Vertigo,therapeutic_class,0.8
gabapentin,NEURO CN,,Neurology / Psychiatry,Neuropathy,therapeutic_class,0.8
dulaglutide,ANTI DIABETIC,Insulin Secretogogues   GLP-1 agonist,Endocrine / Metabolic,Diabetes Mellitus,therapeutic_class,0.8
dulaglutide,ANTI DIABETIC,Insulin Secretogogues   GLP-1 agonist,Endocrine / Metabolic,Type 2 Diabetes,therapeutic_class,0.8
dulaglutide,ANTI DIABETIC,Insulin Secretogogues   GLP-1 agonist,Endocrine / Metabolic,Hyperglycemia,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Epilepsy,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Depression,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Seizure Disorder,therapeutic_class,0.8
tetrabenazine,NEURO CNS,Monoamine depletor- Tetrabenazin,Neurology / Psychiatry,Neuropathic Pain,therapeutic_class,0.8
adalimumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Cancer,therapeutic_class,0.8
adalimumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Malignant Tumor,therapeutic_class,0.8
adalimumab,ANTI NEOPLASTICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Biologic,Oncology,Leukemia,therapeutic_class,0.8
tofacitinib,PAIN ANALGESICS,Janus kinase inhibitor,Pain Management,Pain,therapeutic_class,0.8
tofacitinib,PAIN ANALGESICS,Janus kinase inhibitor,Pain Management,Inflammation,therapeutic_class,0.8
tofacitinib,PAIN ANALGESICS,Janus kinase inhibitor,Pain Management,Arthritis,therapeutic_class,0.8
tofacitinib,PAIN ANALGESICS,Janus kinase inhibitor,Pain Management,Musculoskeletal Pain,therapeutic_class,0.8
sevelamer,BLOOD RELATE,,Hematology,Anemia,therapeutic_class,0.8
sevelamer,BLOOD RELATE,,Hematology,Iron Deficiency,therapeutic_class,0.8
amisulpride,NEURO CN,,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
amisulpride,NEURO CN,,Neurology / Psychiatry,Depression,therapeutic_class,0.8
amisulpride,NEURO CN,,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
amisulpride,NEURO CN,,Neurology / Psychiatry,Vertigo,therapeutic_class,0.8
amisulpride,NEURO CN,,Neurology / Psychiatry,Neuropathy,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Epilepsy,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Depression,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Seizure Disorder,therapeutic_class,0.8
almotriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,Neurology / Psychiatry,Neuropathic Pain,therapeutic_class,0.8
formoterol+budesonide,RESPIRATOR,,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
formoterol+budesonide,RESPIRATOR,,Respiratory,Cough,therapeutic_class,0.8
formoterol+budesonide,RESPIRATOR,,Respiratory,Common Cold,therapeutic_class,0.8
formoterol+budesonide,RESPIRATOR,,Respiratory,Nasal Congestion,therapeutic_class,0.8
formoterol+budesonide,RESPIRATOR,,Respiratory,Bronchitis,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Hypertension,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Heart Disease,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Angina,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Arrhythmia,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Heart Failure,therapeutic_class,0.8
methyldopa,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics,Cardiovascular,Hyperlipidemia,therapeutic_class,0.8
ferrous ascorbate,BLOOD RELATE,,Hematology,Anemia,therapeutic_class,0.8
ferrous ascorbate,BLOOD RELATE,,Hematology,Iron Deficiency,therapeutic_class,0.8
cefepime,ANTI INFECTIVES,Cephalosporins   4th generatio,Infectious Disease,Bacterial Infection,therapeutic_class,0.8
cefepime,ANTI INFECTIVES,Cephalosporins   4th generatio,Infectious Disease,Infection,therapeutic_class,0.8
cefepime,ANTI INFECTIVES,Cephalosporins   4th generatio,Infectious Disease,Sepsis,therapeutic_class,0.8
travoprost,OPHTHAL,PG F2 Alpha analogu,Ophthalmology,Eye Infection,therapeutic_class,0.8
travoprost,OPHTHAL,PG F2 Alpha analogu,Ophthalmology,Glaucoma,therapeutic_class,0.8
travoprost,OPHTHAL,PG F2 Alpha analogu,Ophthalmology,Conjunctivitis,therapeutic_class,0.8
travoprost,OPHTHAL,PG F2 Alpha analogu,Ophthalmology,Dry Eye,therapeutic_class,0.8
naltrexone,NEURO CN,,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
naltrexone,NEURO CN,,Neurology / Psychiatry,Depression,therapeutic_class,0.8
naltrexone,NEURO CN,,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
naltrexone,NEURO CN,,Neurology / Psychiatry,Vertigo,therapeutic_class,0.8
naltrexone,NEURO CN,,Neurology / Psychiatry,Neuropathy,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Epilepsy,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Anxiety,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Depression,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Insomnia,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Seizure Disorder,therapeutic_class,0.8
agomelatine,NEURO CNS,Melatonin agonis,Neurology / Psychiatry,Neuropathic Pain,therapeutic_class,0.8
doxorubicin,ANTI NEOPLASTICS,Alkaloids-cytotoxic agent,Oncology,Cancer,therapeutic_class,0.8
doxorubicin,ANTI NEOPLASTICS,Alkaloids-cytotoxic agent,Oncology,Malignant Tumor,therapeutic_class,0.8
doxorubicin,ANTI NEOPLASTICS,Alkaloids-cytotoxic agent,Oncology,Leukemia,therapeutic_class,0.8
estradiol,GYNAECOLOGICAL,Estrogen,Gynecology,Gynecological Infection,therapeutic_class,0.8
estradiol,GYNAECOLOGICAL,Estrogen,Gynecology,Hormonal Irregularity,therapeutic_class,0.8
estradiol,GYNAECOLOGICAL,Estrogen,Gynecology,PCOS,therapeutic_class,0.8
estradiol,GYNAECOLOGICAL,Estrogen,Gynecology,Menstrual Disorder,therapeutic_class,0.8
hyaluronic acid,OPHTHA,,Ophthalmology,Eye Infection,therapeutic_class,0.8
hyaluronic acid,OPHTHA,,Ophthalmology,Conjunctivitis,therapeutic_class,0.8
hyaluronic acid,OPHTHA,,Ophthalmology,Dry Eye,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,Acid Reflux,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,GERD,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,Gastritis,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,Nausea,therapeutic_class,0.8
metoclopramide,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist-Prokinetic agen,Gastroenterology,Diarrhea,therapeutic_class,0.8
cefdinir,ANTI INFECTIVES,Cephalosporins   3 generatio,Infectious Disease,Bacterial Infection,therapeutic_class,0.8
cefdinir,ANTI INFECTIVES,Cephalosporins   3 generatio,Infectious Disease,Infection,therapeutic_class,0.8
cefdinir,ANTI INFECTIVES,Cephalosporins   3 generatio,Infectious Disease,Sepsis,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,Asthma,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,COPD,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,Cough,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,Common Cold,therapeutic_class,0.8
desloratadine,RESPIRATORY,H1 Antihistaminics (second Generation,Respiratory,Bronchitis,therapeutic_class,0.8
deferasirox,BLOOD RELATED,Iron chelating agent,Hematology,Anemia,therapeutic_class,0.8
deferasirox,BLOOD RELATED,Iron chelating agent,Hematology,Thrombosis,therapeutic_class,0.8
deferasirox,BLOOD RELATED,Iron chelating agent,Hematology,Blood Clotting Disorder,therapeutic_class,0.8
deferasirox,BLOOD RELATED,Iron chelating agent,Hematology,Deep Vein Thrombosis,therapeutic_class,0.8
allylestrenol,GYNAECOLOGICAL,Progestins- Other,Gynecology,Gynecological Infection,therapeutic_class,0.8
allylestrenol,GYNAECOLOGICAL,Progestins- Other,Gynecology,Hormonal Irregularity,therapeutic_class,0.8
allylestrenol,GYNAECOLOGICAL,Progestins- Other,Gynecology,PCOS,therapeutic_class,0.8
allylestrenol,GYNAECOLOGICAL,Progestins- Other,Gynecology,Menstrual Disorder,therapeutic_class,0.8
acetazolamide,OPHTHAL,Carbonic anhydrase inhibito,Ophthalmology,Eye Infection,therapeutic_class,0.8
acetazolamide,OPHTHAL,Carbonic anhydrase inhibito,Ophthalmology,Glaucoma,therapeutic_class,0.8
acetazolamide,OPHTHAL,Carbonic anhydrase inhibito,Ophthalmology,Conjunctivitis,therapeutic_class,0.8
acetazolamide,OPHTHAL,Carbonic anhydrase inhibito,Ophthalmology,Dry Eye,therapeutic_class,0.8
dichlorobenzyl alcohol,RESPIRATOR,,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
dichlorobenzyl alcohol,RESPIRATOR,,Respiratory,Cough,therapeutic_class,0.8
dichlorobenzyl alcohol,RESPIRATOR,,Respiratory,Common Cold,therapeutic_class,0.8
dichlorobenzyl alcohol,RESPIRATOR,,Respiratory,Nasal Congestion,therapeutic_class,0.8
dichlorobenzyl alcohol,RESPIRATOR,,Respiratory,Bronchitis,therapeutic_class,0.8
myo-inositol,GYNAECOLOGICA,,Gynecology,Vaginal Infection,therapeutic_class,0.8
myo-inositol,GYNAECOLOGICA,,Gynecology,Hormonal Irregularity,therapeutic_class,0.8
trypsin,PAIN ANALGESIC,,Pain Management,Pain,therapeutic_class,0.8
trypsin,PAIN ANALGESIC,,Pain Management,Inflammation,therapeutic_class,0.8
trypsin,PAIN ANALGESIC,,Pain Management,Arthritis,therapeutic_class,0.8
trypsin,PAIN ANALGESIC,,Pain Management,Musculoskeletal Pain,therapeutic_class,0.8
ciclosporin,OPHTHAL,Immunosuppressant- Calcineurin inhibitor,Ophthalmology,Eye Infection,therapeutic_class,0.8
ciclosporin,OPHTHAL,Immunosuppressant- Calcineurin inhibitor,Ophthalmology,Glaucoma,therapeutic_class,0.8
ciclosporin,OPHTHAL,Immunosuppressant- Calcineurin inhibitor,Ophthalmology,Conjunctivitis,therapeutic_class,0.8
ciclosporin,OPHTHAL,Immunosuppressant- Calcineurin inhibitor,Ophthalmology,Dry Eye,therapeutic_class,0.8
freeze-dried live attenuated hepatitis a vaccine,VACCINE,,Preventive Medicine,Vaccination / Immunization,therapeutic_class,0.8
isoxsuprine,GYNAECOLOGICAL,Beta 2 agonist - Uteru,Gynecology,Gynecological Infection,therapeutic_class,0.8
isoxsuprine,GYNAECOLOGICAL,Beta 2 agonist - Uteru,Gynecology,Hormonal Irregularity,therapeutic_class,0.8
isoxsuprine,GYNAECOLOGICAL,Beta 2 agonist - Uteru,Gynecology,PCOS,therapeutic_class,0.8
isoxsuprine,GYNAECOLOGICAL,Beta 2 agonist - Uteru,Gynecology,Menstrual Disorder,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Hypertension,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Heart Disease,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Angina,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Arrhythmia,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Heart Failure,therapeutic_class,0.8
midodrine,CARDIAC,Alpha-1 adrenoreceptor agonist,Cardiovascular,Hyperlipidemia,therapeutic_class,0.8
calcium citrate malate,VITAMINS MINERALS NUTRIENT,,Nutrition,Nutritional Deficiency,therapeutic_class,0.8
calcium citrate malate,VITAMINS MINERALS NUTRIENT,,Nutrition,Vitamin Deficiency,therapeutic_class,0.8
calcium citrate malate,VITAMINS MINERALS NUTRIENT,,Nutrition,Mineral Deficiency,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Hypertension,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Heart Disease,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Angina,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Arrhythmia,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Heart Failure,therapeutic_class,0.8
dabigatran etexilate,CARDIAC,Direct thrombin inhibitor- ora,Cardiovascular,Hyperlipidemia,therapeutic_class,0.8
everolimus,ANTI NEOPLASTIC,,Oncology,Cancer,therapeutic_class,0.8
everolimus,ANTI NEOPLASTIC,,Oncology,Prostate Cancer,therapeutic_class,0.8
everolimus,ANTI NEOPLASTIC,,Oncology,Breast Cancer,therapeutic_class,0.8
everolimus,ANTI NEOPLASTIC,,Oncology,Malignant Tumor,therapeutic_class,0.8
dexamethasone,OPHTHAL OTOLOGICAL,,Ophthalmology / ENT,Eye Infection,therapeutic_class,0.8
dexamethasone,OPHTHAL OTOLOGICAL,,Ophthalmology / ENT,Ear Infection,therapeutic_class,0.8
terbutaline,RESPIRATOR,,Respiratory,Allergic Rhinitis,therapeutic_class,0.8
terbutaline,RESPIRATOR,,Respiratory,Cough,therapeutic_class,0.8
terbutaline,RESPIRATOR,,Respiratory,Common Cold,therapeutic_class,0.8
terbutaline,RESPIRATOR,,Respiratory,Nasal Congestion,therapeutic_class,0.8
terbutaline,RESPIRATOR,,Respiratory,Bronchitis,therapeutic_class,0.8
diphtheria toxoid,VACCINE,,Preventive Medicine,Vaccination / Immunization,therapeutic_class,0.8
magaldrate,GASTRO INTESTINA,,Gastroenterology,Acid Reflux,therapeutic_class,0.8
magaldrate,GASTRO INTESTINA,,Gastroenterology,GERD,therapeutic_class,0.8
magaldrate,GASTRO INTESTINA,,Gastroenterology,Peptic Ulcer,therapeutic_class,0.8
magaldrate,GASTRO INTESTINA,,Gastroenterology,Nausea,therapeutic_class,0.8
finasteride,UROLOGY,5 alpha- reductase inhibitor (5ARI,Urology,Benign Prostatic Hyperplasia,therapeutic_class,0.8
finasteride,UROLOGY,5 alpha- reductase inhibitor (5ARI,Urology,Urinary Tract Disorder,therapeutic_class,0.8
pralidoxime,OTHERS,Cholinesterase regenerato,General Medicine,Weight Management,therapeutic_class,0.8
